公司,资产标签,型号,品牌,类别：,生产厂家,位置,状态
腾讯,TKMB21010259,CDY-AN00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB190800MA,PBAM00,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1803033A,"M6 NOTE",MEIZU,Android,meizu,,"新增 (deployable)"
腾讯,TKMB1912049W,SKW-A0,BLACKSHARK,Android,blackshark,,"新增 (deployable)"
腾讯,TKMB2004057N,"REDMI K30 5G",REDMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB1806029J,"VIVO X9PLUS",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB2004055T,STK-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB180701NG,"REDMI 6",XIAOMI,Android,Xiaomi,B2-G03-0309,"上线 (deployable)"
腾讯,TKMB18010453,"MI MAX 2",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB20090048,PDEM30,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB200501MP,"REDMI NOTE 7",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB1912075J,"iPhone X",Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB1907016E,V1813BA,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB18010407,"VIVO X9",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB190801WF,"HUAWEI NXT-TL00",HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1912023X,"PRO 7 PLUS",MEIZU,Android,meizu,,"新增 (deployable)"
腾讯,TKMB20110254,EBG-AN00,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB18060206,"OPPO A77",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB191000A7,SM-N920S,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB191206FG,V1921A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB2004054A,"MI9 PRO 5G",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB190801R0,NX629J,NUBIA,Android,nubia,,"新增 (deployable)"
腾讯,TKMB191100RL,BKK-L21,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1912074J,MRD-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB201001NR,"OPPO R11",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB19050LFJ,ATH-TL00,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1806026E,"OPPO A83",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB200503MY,V1813BA,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB20070351,"OPPO A57",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB170202K0,"VIVO Y35A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB17060253,PIXEL,GOOGLE,Android,Google,,"新增 (deployable)"
腾讯,TKMB191000P0,SM-J250F,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB20040548,EBG-AN00,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB20040552,VOG-AL10,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200405JL,"VIVO Z1I",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB171106F8,SM-G9550,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB17020202,TA-1000,NOKIA,Android,"HMD Global Oy",,"新增 (deployable)"
腾讯,TKMB18010406,"OPPO R11S",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB18010441,"OPPO R9M",OPPO,Android,OPPO,,"新增 (deployable)"
